problem,solution,answer,level,unique_id
"If $5x - 3 = 12$, what is the value of $5x + 3$?",Adding 6 to both sides of $5x - 3 =12$ gives $5x -3 + 6 = 12 + 6$.  Simplifying both sides gives $5x + 3 = \boxed{18}$.,18,2,test/prealgebra/2002.json
"Alice wants to buy $3$ pounds of veal at the grocery store, but the scales at the store only show weight in kilograms. If one kilogram is $2.20$ pounds, how many kilograms of veal should Alice buy?  (You may use a calculator on this problem; answer to the nearest hundredth.)","Since Alice wants to buy $3$ pounds of veal, we multiply the quantity of $3$ pounds by the conversion factor $\frac{1\ \text{kg}}{2.20\ \text{lb}}$ to obtain $3\ \text{lb} \cdot \frac{1\ \text{kg}}{2.20\ \text{lb}} \approx \boxed{1.36}\ \text{kg}$.",1.36,4,test/prealgebra/2017.json
"$AB = 20$ cm, $m \angle A = 30^\circ$, and $m \angle C = 45^\circ$. Express the number of centimeters in the length of $\overline{BC}$ in simplest radical form. [asy]
import olympiad; size(200); import geometry; import graph; defaultpen(linewidth(0.8));
pair A = origin, B = (10*sqrt(3),10), C = (10*sqrt(3) + 10,0);
draw(Label(""$20$"",align=NW),A--B); draw(B--C); draw(A--C);
label(""$A$"",A,W); label(""$B$"",B,N); label(""$C$"",C,E);
[/asy]","Drawing altitude $\overline{BD}$ splits $\triangle ABC$ into 30-60-90 triangle $ABD$ and 45-45-90 triangle $BCD$:

[asy]
import olympiad; size(200); import geometry; import graph; defaultpen(linewidth(0.8));
pair A = origin, B = (10*sqrt(3),10), C = (10*sqrt(3) + 10,0);
draw(Label(""$20$"",align=NW),A--B); draw(B--C); draw(A--C);
label(""$A$"",A,W); label(""$B$"",B,N); label(""$C$"",C,E);
pair D = (10*sqrt(3),0);
label(""$D$"",D,S);
draw(B--D);
draw(rightanglemark(B,D,A,40));
[/asy]

From 30-60-90 triangle $ABD$, we have $BD = AB/2 = 10$.  From 45-45-90 triangle $BCD$, we have $BC = BD\sqrt{2} = \boxed{10\sqrt{2}}$.",10\sqrt{2},5,test/prealgebra/1210.json
"Carpet costs $\$21.95$ per square yard and the padding to put under it costs $\$2.55$ per square yard. Felix plans to install padding and carpet in the region shown in the diagram. What is the cost of the carpet and padding needed to exactly cover the room?

[asy]
unitsize(0.2 inch);
//import geometry;
draw((0,0)--(9,0)--(9,2)--(4,2)--(4,5)--(0,5)--(0,0));

label(""4 yds"",(2,5),N);
label(""3 yds"",(4,3.5),E);
label(""5 yds"",(6.5,2),N);
label(""2 yds"",(9,1),E);

[/asy]","The room is a 5 yard by 9 yard rectangle with a 3 yard by 5 yard rectangle removed from one corner.  The area of the room is $(5\text{ yd.})(9\text{ yd.})-(3\text{ yd.})(5\text{ yd.})=30$ square yards.  The total cost per square yard for the carpet and padding is $\$21.95+\$2.55=\$24.50$.  The total cost is $30$ square yards times $\$24.50$ per square yard, or $\boxed{735}$ dollars.",735,4,test/prealgebra/1645.json
"The only garments that a particular factory produces are  dresses and shirts. It produces three	dresses for every five shirts  it makes. If the factory produced a total of 72 garments today,  how many dresses did it make?","If the factory produces 3 dresses for every 5 shirts, that means it produces 3 dresses out of every 8 garments. So we multiply the fraction $\frac{3}{8}$ by the number of garments, 72, and get $\frac{3}{8}\cdot72=3\cdot9=\boxed{27}$ dresses.",27,3,test/prealgebra/1715.json
"There are 8 sprinters in the Olympic 100-meter finals.  The gold medal goes to first place, silver to second, and bronze to third.   In how many ways can the medals be awarded?","There are 8 possible sprinters to award the gold to, then 7 remaining sprinters for the silver, and then 6 left for the bronze, for a total of $8 \times 7 \times 6 = \boxed{336}$ ways to award the medals.",336,3,test/prealgebra/579.json
The expression $\left(\frac{1}{23} \right)^{1000}$ is closest to what integer?,"For this problem, we do not actually need to multiply out the whole thing, and find out exactly what $\left(\frac{1}{23} \right)^{1000}$ equals. That would take a long time! Instead, realize that when we multiply a small fraction like this by itself, the result is smaller than our original fraction. Then if we multiply that result by the original fraction again, the result will be even smaller. Now imagine if we do this $1000$ times. The final result will be a $\emph{very}$ small fraction, close to the integer $\boxed{0}$.",0,4,test/prealgebra/754.json
What number must be placed in the box in the equation below to produce an equation that has more than one solution: \[4x + 6 + 7x - 9 = 12x - 7 - x + \boxed{\phantom{2}}?\],"Simplifying both sides gives \[11x - 3 = 11x - 7 + \boxed{\phantom{2}}.\] Subtracting $11x$ from both sides gives \[-3 = -7 + \boxed{\phantom{2}}.\] If the number in the box is anything but 4, then the equation cannot be true, and the original equation has no solutions.  If the number in the box is $\boxed{4}$, then the two sides of the original equation are equivalent, and all values of $x$ are solutions to the equation.",4,3,test/prealgebra/1407.json
Find 4 divided by $\frac{4}{9}$.,"Since division is the same as multiplying by the reciprocal, $4 \div \frac{4}{9} = 4 \cdot \frac{9}{4} = \frac{4\cdot 9}{4} = \frac{4}{4} \cdot 9 = 1\cdot 9 = \boxed{9}$.",9,2,test/prealgebra/1068.json
"A baker bakes a batch of muffins and splits the batch evenly onto six different trays.  She then adds five croissants to each tray. If each tray now contains at least twenty baked goods, what is the least possible number of muffins in the baker's original batch?","Let $m$ represent the total number of muffins in the original batch.  Hence, each tray contains $\frac{m}{6}$ muffins and $5$ croissants, for a total of $\frac{m}{6}+5$ baked goods.  We know that this value is at least $20$, hence we have the inequality \[ \frac{m}{6}+5 \ge 20.\]To solve, we first subtract $5$ from both sides of the inequality, yielding $\frac{m}{6} \ge 15$, and then multiply both sides by $6$ to get $m \ge 90.$

Therefore the original batch contained at least $\boxed{90}$ muffins.",90,4,test/prealgebra/1084.json
